,Group
"['Food and Drink', 'Restaurants']DUNKIN #349735 Q35 BROOKLYN NY 04/27",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 05-09 FORT",1
['Service']Recurring Payment - WIX.COM*436828523,1
"['Travel', 'Gas Stations']MARATHON PETRO1207 06-14 FORT",1
"['Shops', 'Beauty Products']ULTA #1620 PHOENIX AZ 11/17",1
"['Travel', 'Public Transportation Services']VENTRA VENDING 07902",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 01-16 FORT",1
"['Shops', 'Pets']CHEWY.COM POS FL US XX4330",1
"['Shops', 'Pharmacies']JEWEL OSCO 3290 MELROSE PARK IL 539240 11/25",1
"['Food and Drink', 'Restaurants']Sephora",1
"['Food and Drink', 'Restaurants']DUNKIN #339351 Q35 NEW YORK NY 05/06",1
['Service']WIX.COM*644261561 NY 04/11,1
"['Service', 'Business Services']WIX.COM 692751901",1
"['Shops', 'Clothing and Accessories']ROSS STORES #1 04/01 PURCHASE",1
['Service']Wix.com*,1
"['Travel', 'Gas Stations']MARATHON PETRO150375",1
['Service']WIX.COM*Premium-Plan NY 11/11,1
"['Travel', 'Gas Stations']MARATHON PETRO1207 09-22 FORT",1
"['Service']Recurring Debit Purchase 09/20 card 6332 Wix.com, Inc.",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 09-10 FORT",1
"['Travel', 'Gas Stations']MARATHON PETRO2197 02-05 MURRAY",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 12-28 FORT",1
"['Service']WIX*Wix.Com, Inc. CA 09/11",1
"['Food and Drink', 'Restaurants']DUNKIN #350824 Q35 ATLANTA, GA, US",1
"['Shops', 'Beauty Products']POINT OF SALE DEBIT ULTA 3 #25",1
['Service']WIX.COM*7443682,1
"['Travel', 'Gas Stations']PHILLIPS 66 - JENNY'S CASTLE ROCK CO 07/02",1
['Service']WIX.COM*7222687,1
"['Travel', 'Public Transportation Services']VENTRA ACCOUNT",1
"['Travel', 'Gas Stations']MARATHON PETRO 03/19 PURCHASE PHILADELPHIA MS DEBIT CARD *4318",1
['Service']WIX.COM*704656353,1
['Service']THE UPS STORE #5800,1
"['Shops', 'Clothing and Accessories']ROSS STORES #1 08/01 PURCHASE CALUMET CITY IL DEBIT CARD *7258",1
"['Travel', 'Gas Stations']MARATHON PETRO102095",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 06-25 FORT",1
"['Service', 'Shipping and Freight']THE UPS STORE #5673 14",1
"['Shops', 'Clothing and Accessories']T J MAXX 3219 ROLLING",1
"['Travel', 'Gas Stations']MARATHON PETRO2197 02-20 MURRAY",1
"['Food and Drink', 'Restaurants']DUNKIN #340423 Q35 NEW YORK NY 02/05",1
"['Bank Fees', 'Insufficient Funds']Metropolitan Transportation Authority",1
['Service']WIX.COM*6916274,1
['Service']WIX.COM*689425981 NY 06/11,1
"['Shops', 'Pets']Withdrawal Debit Consumer / CHEWY.COM FL Date 06/01/20 0 0153020787 0 5995 %% Card 20 #6543",1
['Service']DOLLAR TREE,1
"['Food and Drink', 'Restaurants']DUNKIN #350831 Q35 RIDGEWOOD NY 08/28",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 02-20 FORT",1
"['Travel', 'Gas Stations']MARATHON PETRO12 CHICAGO IL 07/12",1
['Service']Recurring Payment - WIX.COM*534488901,1
"['Food and Drink', 'Restaurants']DUNKIN #355310 Q EAGAN, MN, US",1
['Service']WIX.COM*6782139,1
"['Shops', 'Beauty Products']ULTA #185 TEMPE AZ 06/19",1
"['Travel', 'Gas Stations']MARATHON PETRO 09-20",1
['Service']SIGNED PURCHASE WIX.COM*826910173NEW YORK POS,1
['Service']WIX.COM*666483121 NY 05/11,1
"['Food and Drink', 'Restaurants']HUDSON-DUNKIN ST212 NEW YORK NY 268842 07/22",1
"['Food and Drink', 'Restaurants']DUNKIN #348799 Q35 GREENVILLE, NC, US",1
"['Travel', 'Gas Stations']Debit Purchase -visa 06/16 card 6332 Marathon Petro18catlettsburgky",1
"['Travel', 'Gas Stations']MARATHON PETRO22434",1
"['Travel', 'Gas Stations']MARATHON PETRO189092",1
"['Shops', 'Clothing and Accessories']T J Maxx 250 W 57 Th S",1
['Service']WIX.COM*4952478,1
"['Travel', 'Gas Stations']Walton Marathon",1
"['Travel', 'Gas Stations']MARATHON PETRO17",1
"['Shops', 'Food and Beverage Store']PANDA BUBBLE TEA",1
"['Service', 'Insurance']THE GENERAL 800 280 14, 800-2801466",1
"['Travel', 'Gas Stations']Debit Purchase -visa 05/17 card 6332 Marathon Petro11morehead",1
['Service']WIX.COM*459071141 NY 06/11,1
"['Shops', 'Beauty Products']ULTA.COM 09/10 PURCHASE 8669838582",1
['Service']WIX.COM*4256002,1
"['Travel', 'Gas Stations']MARATHON PETRO149120",1
"['Shops', 'Supermarkets and Groceries']ELIZABAR'S FARM TO",1
['Service']Recurring Payment - WIX.COM*498536701,1
"['Shops', 'Beauty Products']ULTA #594 PORT CHESTER NY 08/11",1
"['Travel', 'Gas Stations']MARATHON PETRO171322",1
['Service']WIX.COM*441486543 NY 05/11,1
"['Food and Drink', 'Restaurants']BOTSFORD GENERAL HO FARMINGTON HI",1
"['Travel', 'Gas Stations']MARATHON PETRO1207 06-08 FORT",1
['Service']SIGNED PURCHASE WIX.COM*826910173 POS,1
"['Travel', 'Gas Stations']MARATHON PETRO150722",1
"['Service', 'Manufacturing', 'Food and Beverage']PepsiCo",1
