id,original_amount,txn_date,plaid_category,plaid_dirty_name
17065,39.02,2020-08-04,"['Shops', 'Clothing and Accessories']",T J MAXX 3300 BROADWA EUREKA CA 08/04
37120,21.28,2019-09-30,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
117772,54.67,2021-01-25,"['Shops', 'Clothing and Accessories']",T.J.Maxx
29477,23.0,2020-09-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
73223,20.0,2020-08-24,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 08/23
98919,10.0,2019-10-09,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 10/08
32410,5.0,2019-09-20,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
88737,136.44,2019-08-26,"['Service', 'Insurance']",State Farm
46029,5.0,2018-03-01,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
44830,3.8,2017-02-24,"['Food and Drink', 'Restaurants']",DUNKIN #340441 Q35 BROOKLYN NY 02/23
63418,7.81,2019-07-16,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
24260,7.28,2019-03-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
76110,124.02,2020-12-17,"['Service', 'Insurance']",State Farm
45198,5.0,2016-08-17,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
37664,54.57,2019-06-10,"['Shops', 'Beauty Products']",ULTA
54371,8.0,2019-11-12,"['Travel', 'Parking']",SPOTHERO 844-356-805 HTTPSSPOTHERO IL 11/09
53764,23.95,2020-11-25,"['Shops', 'Pharmacies']",JEWEL OSCO 3290 MELROSE PARK IL 539240 11/25
118272,2.0,2021-01-28,"['Travel', 'Parking']",POS DEBIT NYCDOT PARKING METERS
32465,5.0,2019-08-29,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
120729,11.83,2020-02-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Panda Express
98235,5.0,2020-03-11,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 03/10
89542,1.5,2019-01-18,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/17
65078,10.0,2020-12-11,"['Food and Drink', 'Restaurants']",Chick-Fil-A
55215,84.65,2020-09-17,"['Shops', 'Clothing and Accessories']",Ross Dress for Less
32570,5.0,2019-07-24,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
96136,37.77,2019-06-17,"['Travel', 'Gas Stations']",Sheetz
28919,55.52,2019-02-23,"['Travel', 'Gas Stations']",Cumberland Farms
59608,3.98,2020-01-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
72645,10.0,2020-10-26,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/25
98560,10.0,2020-01-08,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 01/07
39411,9.39,2019-06-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
105761,62.88,2021-01-18,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
30735,46.8,2019-04-30,"['Travel', 'Gas Stations']",Sheetz
76831,19.46,2019-10-02,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
3577,69.04,2019-07-10,"['Transfer', 'Debit']",ALLY CASHBACK
32773,5.0,2019-05-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
60897,80.44,2020-08-07,"['Shops', 'Beauty Products']",Sephora
81342,71.02,2020-03-13,"['Shops', 'Beauty Products']",Sephora
18066,4.0,2020-01-13,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 01/10
88753,2.25,2019-08-21,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 08/20
67940,36.39,2020-08-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
30193,8.75,2019-11-17,"['Shops', 'Discount Stores']",Dollar Tree
126534,27.9,2020-11-09,['Service'],WIX.COM*PRETTYNLU 11/05 PURCHASE
37261,17.05,2019-09-03,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
102727,9.28,2021-01-11,"['Shops', 'Clothing and Accessories']",ROSS STORE 2223 01-10-21 PADUCAH
98577,10.0,2020-01-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 12/31
33874,5.07,2020-05-15,"['Travel', 'Gas Stations']",MARATHON PETRO1207 05-14 FORT
89173,153.44,2019-04-24,"['Service', 'Insurance']",State Farm
73569,5.0,2020-07-13,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 07/12
44728,32.0,2017-05-04,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
10162,99.41,2018-12-04,"['Shops', 'Pets']",CHEWY.COM
39793,18.51,2019-03-04,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
22297,53.82,2020-11-02,"['Shops', 'Pets']",CHEWY INC
39186,16.24,2019-08-05,"['Shops', 'Digital Purchase']",Audible
45939,5.0,2018-04-02,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
76433,12.61,2020-05-13,"['Travel', 'Gas Stations']",Debit Purchase -visa 05/12 card 6332 Marathon Petro12versailles
65573,5.87,2020-03-09,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
90305,12.31,2020-07-11,['Service'],THE UPS STORE #4329
17131,4.0,2020-07-24,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 07/23
45130,4.77,2016-09-14,"['Food and Drink', 'Restaurants']",DUNKIN #331707 Q35 BROOKLYN NY 09/13
84915,14.95,2020-09-23,"['Shops', 'Bookstores']",Audible
85898,23.65,2019-08-18,"['Shops', 'Food and Beverage Store']",SD ZOO CINNAMON TREE
99233,10.0,2019-07-15,"['Travel', 'Public Transportation Services']",VENTRA MOBILE IL 07/13
70720,7.83,2019-11-15,"['Food and Drink', 'Restaurants']",Chick-Fil-A
97791,11.2,2020-08-25,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/25
1393,1.75,2019-10-21,['Food and Drink'],PepsiCo
36488,17.3,2020-02-10,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
89321,3.0,2019-03-18,"['Travel', 'Parking']",NYCDOT PARKING METERS LONG IS CITY NY 03/15
36969,14.22,2019-10-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
45044,6.09,2016-10-27,"['Food and Drink', 'Restaurants']",DUNKIN #349427 Q3 NEW CANAAN CT 10/26
72799,100.0,2020-10-09,"['Shops', 'Digital Purchase']",GLOBALPOK GOLD COINS TA XBIEX 10/08
122939,3.0,2020-08-10,"['Shops', 'Discount Stores']",Dollar Tree
43918,11.5,2018-03-08,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
44044,10.0,2018-01-08,"['Travel', 'Public Transportation Services']",Metropolitan Transportation Authority
3608,668.89,2019-06-28,"['Transfer', 'Debit']",ALLY CASHBACK
45926,5.0,2018-04-05,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
84434,73.86,2019-05-01,"['Shops', 'Pets']",CHEWY.COM
97442,5.48,2020-11-06,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 11/06
36511,18.72,2020-02-05,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
71923,21.0,2020-12-15,"['Shops', 'Pharmacies']",POS DEBIT JEWEL OSCO 3474
59757,90.08,2019-09-18,"['Service', 'Insurance']",State Farm
48440,16.84,2020-06-19,"['Food and Drink', 'Restaurants']",Chick-fil-A
32508,5.0,2019-08-16,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
104593,1.0,2020-12-05,"['Travel', 'Gas Stations']",Sheetz
30783,3.0,2019-04-03,"['Shops', 'Discount Stores']",Dollar General
20791,13.17,2020-04-11,"['Food and Drink', 'Restaurants']",Hover.Com
21654,13.17,2018-12-12,"['Food and Drink', 'Restaurants']",Hover.Com
36692,3.07,2019-12-30,"['Travel', 'Gas Stations']",QuikTrip
97768,7.07,2020-08-31,"['Travel', 'Gas Stations']",FOOD SMAR 2901 W ARMIT CHICAGO IL 08/29
39221,10.95,2019-07-26,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
15768,5.0,2019-04-29,"['Shops', 'Supermarkets and Groceries']",ADEN FOOD MARKET
33105,5.0,2018-11-28,"['Travel', 'Public Transportation Services']",VENTRA MOBILE
53355,17.09,2020-04-13,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
104962,85.3,2020-07-22,"['Service', 'Insurance']",State Farm
43174,1953.84,2017-08-30,"['Transfer', 'Debit']",ALLY CASHBACK
43017,325.4,2018-01-18,"['Transfer', 'Debit']",ALLY CASHBACK
46061,31.99,2018-02-11,"['Shops', 'Clothing and Accessories']",T.J.Maxx
27574,13.49,2019-12-02,"['Travel', 'Gas Stations']",Cumberland Farms
39332,12.32,2019-06-28,"['Food and Drink', 'Restaurants', 'Fast Food']",Chick-fil-A
